TID,EN,ydZH
String,String,String
TID_COOKIES,#Number# Cookies,
TID_COOKIES_BAKED,#Number# Cookies Baked.,
TID_COOKIES_CLICKED,#Number# Cookies Clicked.,
TID_CPS,+#Number# Cookies per secend!,
TID_CURSOR_DISPLAYNAME,Cursor,光标
TID_CURSOR_DESC,Autoclicks once every 10 seconds.,Autoclicks每隔10秒。
TID_GRANDMA_DISPLAYNAME,Grandma,奶奶
TID_GRANDMA_DESC,A nice grandma to bake more cookies.,一个漂亮的奶奶烘烤饼干。
TID_FARM_DISPLAYNAME,Farm,农场
TID_FARM_DESC,Grows cookie plants from cookie seeds.,生长植物甜饼种子。
TID_FACTORY_DISPLAYNAME,Factory,工厂
TID_FACTORY_DESC,Produces large quantities of cookies.,产生大量的饼干。
TID_MINE_DISPLAYNAME,Mine,我的
TID_MINE_DESC,Mines out cookie dough and chocolate chips.,矿山饼干面团和巧克力。
TID_SHIPMENT_DISPLAYNAME,Shipment,装运
TID_SHIPMENT_DESC,Brings in fresh cookies from the cookie planet.,带来新鲜的曲奇饼干的星球。
TID_ALCHEMY_LAB_DISPLAYNAME,Alchemy lab,炼金术实验室
TID_ALCHEMY_LAB_DESC,Turns gold into cookies!,把黄金变成饼干!
TID_PORTAL_DISPLAYNAME,Portal,门户网站
TID_PORTAL_DESC,Opens a door to the Cookieverse.,Cookieverse打开一扇门。
TID_TIME_MACHINE_DISPLAYNAME,Time machine,时间机器
TID_TIME_MACHINE_DESC,"Brings cookies from the past, before they were even eaten.",从过去带来的饼干
TID_ANTIMATTER_CONDENSER_DISPLAYNAME,Antimatter condenser,反物质冷凝器
TID_ANTIMATTER_CONDENSER_DESC,Condenses the antimatter in the universe into cookies.,凝结的反物质宇宙成饼干。
TID_PRISM_DISPLAYNAME,Prism,棱镜
TID_PRISM_DESC,Converts light itself into cookies.,将光转换成饼干。
TID_UPGRADE_DISPLAYNAME_REINFORCED_INDEX_FINGER,Reinforced index finger,钢筋食指
TID_UPGRADE_DESC_REINFORCED_INDEX_FINGER,The mouse gains +1 cookie per click.Cursors gain +0.1 base CpS.prod prod,每点击鼠标收益1饼干。CpS游标获得0.1基地。戳戳
TID_UPGRADE_DISPLAYNAME_CARPAL_TUNNEL_PREVENTION_CREAM,Carpal tunnel prevention cream,腕管预防奶油
TID_UPGRADE_DESC_CARPAL_TUNNEL_PREVENTION_CREAM,The mouse and cursors are twice as efficient.it... it hurts to click...,鼠标和游标efficient.it两倍……它伤害了点击…
TID_UPGRADE_DISPLAYNAME_AMBIDEXTROUS,Ambidextrous,双手灵巧的
TID_UPGRADE_DESC_AMBIDEXTROUS,"The mouse and cursors are twice as efficient.Look ma, both hands!",鼠标光标是两倍效率。看马
TID_UPGRADE_DISPLAYNAME_THOUSAND_FINGERS,Thousand fingers,几千人的手指
TID_UPGRADE_DESC_THOUSAND_FINGERS,The mouse and cursors gain +0.1 cookies for each non-cursor object owned.clickity,鼠标和游标获得0.1每个non-cursor对象owned.clickity饼干
TID_UPGRADE_DISPLAYNAME_MILLION_FINGERS,Million fingers,百万的手指
TID_UPGRADE_DESC_MILLION_FINGERS,The mouse and cursors gain +0.5 cookies for each non-cursor object owned.clickityclickity,鼠标和游标获得0.5每个non-cursor对象owned.clickityclickity饼干
TID_UPGRADE_DISPLAYNAME_BILLION_FINGERS,Billion fingers,十亿的手指
TID_UPGRADE_DESC_BILLION_FINGERS,The mouse and cursors gain +2 cookies for each non-cursor object owned.clickityclickityclickity,鼠标和游标获得2为每个non-cursor对象owned.clickityclickityclickity饼干
TID_UPGRADE_DISPLAYNAME_TRILLION_FINGERS,Trillion fingers,兆的手指
TID_UPGRADE_DESC_TRILLION_FINGERS,The mouse and cursors gain +10 cookies for each non-cursor object owned.clickityclickityclickityclickity,鼠标和游标获得10为每个non-cursor对象owned.clickityclickityclickityclickity饼干
TID_UPGRADE_DISPLAYNAME_FORWARDS_FROM_GRANDMA,Forwards from grandma,前锋从奶奶
TID_UPGRADE_DESC_FORWARDS_FROM_GRANDMA,Grandmas gain +0.3 base CpS.RE:RE:thought you'd get a kick out of this ;)),奶奶CpS获得0.3基地。再保险:RE:以为你会踢的，))
TID_UPGRADE_DISPLAYNAME_STEEL_PLATED_ROLLING_PINS,Steel-plated rolling pins,一身滚针
TID_UPGRADE_DESC_STEEL_PLATED_ROLLING_PINS,Grandmas are twice as efficient.Just what you kneaded.,奶奶是两倍效率。只是你捏。
TID_UPGRADE_DISPLAYNAME_LUBRICATED_DENTURES,Lubricated dentures,润滑假牙
TID_UPGRADE_DESC_LUBRICATED_DENTURES,Grandmas are twice as efficient.squish,奶奶是efficient.squish的两倍
TID_UPGRADE_DISPLAYNAME_CHEAP_HOES,Cheap hoes,廉价的锄头
TID_UPGRADE_DESC_CHEAP_HOES,Farms gain +1 base CpS.Rake in the dough!,CpS农场获得1基地。在面团耙!
TID_UPGRADE_DISPLAYNAME_FERTILIZER,Fertilizer,肥料
TID_UPGRADE_DESC_FERTILIZER,"Farms are twice as efficient.It's chocolate, I swear.",农场的两倍效率。这是巧克力
TID_UPGRADE_DISPLAYNAME_COOKIE_TREES,Cookie trees,饼干树
TID_UPGRADE_DESC_COOKIE_TREES,Farms are twice as efficient.A relative of the breadfruit.,农场的两倍效率。一个相对的面包果。
TID_UPGRADE_DISPLAYNAME_STURDIER_CONVEYOR_BELTS,Sturdier conveyor belts,坚固传送带
TID_UPGRADE_DESC_STURDIER_CONVEYOR_BELTS,Factories gain +4 base CpS.You're going places.工厂基础cps+4<你的前途无量!>,工厂获得CpS 4基地。你要去的地方。一个·¥一ºc项cps 4 <½c一eæe! >
TID_UPGRADE_DISPLAYNAME_CHILD_LABOR,Child labor,童工
TID_UPGRADE_DESC_CHILD_LABOR,"Factories are twice as efficient.Cheaper, healthier workforce.",工厂正在efficient.Cheaper的两倍
TID_UPGRADE_DISPLAYNAME_SWEATSHOP,Sweatshop,血汗工厂
TID_UPGRADE_DESC_SWEATSHOP,Factories are twice as efficient.Slackers will be terminated.,工厂两倍效率。偷懒的人将被终止。
TID_UPGRADE_DISPLAYNAME_SUGAR_GAS,Sugar gas,糖气
TID_UPGRADE_DESC_SUGAR_GAS,"Mines gain +10 base CpS.A pink, volatile gas, found in the depths of some chocolate caves.",CpS矿山获得10个基地。一个粉红色的
TID_UPGRADE_DISPLAYNAME_MEGADRILL,Megadrill,Megadrill
TID_UPGRADE_DESC_MEGADRILL,Mines are twice as efficient.You're in deep.,矿山是两倍效率。你在深。
TID_UPGRADE_DISPLAYNAME_ULTRADRILL,Ultradrill,Ultradrill
TID_UPGRADE_DESC_ULTRADRILL,Mines are twice as efficient.Finally caved in?,矿山是两倍效率。终于屈服了吗?
TID_UPGRADE_DISPLAYNAME_VANILLA_NEBULAE,Vanilla nebulae,香草星云
TID_UPGRADE_DESC_VANILLA_NEBULAE,"Shipments gain +30 base CpS.If you removed your space helmet, you could probably smell it!(Note : don't do that.)",CpS出货量增加30基地。如果你删除你的太空头盔
TID_UPGRADE_DISPLAYNAME_WORMHOLES,Wormholes,虫洞
TID_UPGRADE_DESC_WORMHOLES,"Shipments are twice as efficient.By using these as shortcuts, your ships can travel much faster.",装运的两倍效率。通过使用这些快捷键
TID_UPGRADE_DISPLAYNAME_FREQUENT_FLYER,Frequent flyer,常旅客
TID_UPGRADE_DESC_FREQUENT_FLYER,Shipments are twice as efficient.Come back soon!,装运的两倍效率。很快回来!
TID_UPGRADE_DISPLAYNAME_ANTIMONY,Antimony,锑
TID_UPGRADE_DESC_ANTIMONY,Alchemy labs gain +100 base CpS.Actually worth a lot of mony.炼金室基础cps+100<实际上相当超值>,炼金术实验室获得100 CpS基地。实际上许多许多的价值。一个®c¼e¤一ºc(¡cps 100 <一个®e一¸c¸一½e¶一¼>
TID_UPGRADE_DISPLAYNAME_ESSENCE_OF_DOUGH,Essence of dough,面团的本质
TID_UPGRADE_DESC_ESSENCE_OF_DOUGH,Alchemy labs are twice as efficient.Extracted through the 5 ancient steps of alchemical baking.,炼金术实验室两倍效率。通过提取5古代炼金术烘焙的步骤。
TID_UPGRADE_DISPLAYNAME_TRUE_CHOCOLATE,True chocolate,真正的巧克力
TID_UPGRADE_DESC_TRUE_CHOCOLATE,Alchemy labs are twice as efficient.The purest form of cacao.,炼金术实验室两倍效率。可可的纯粹的形式。
TID_UPGRADE_DISPLAYNAME_ANCIENT_TABLET,Ancient tablet,古老的平板电脑
TID_UPGRADE_DESC_ANCIENT_TABLET,"Portals gain +1,666 base CpS.A strange slab of peanut brittle, holding an ancient cookie recipe. Neat!",门户网站获得1
TID_UPGRADE_DISPLAYNAME_INSANE_OATLING_WORKERS,Insane oatling workers,疯狂oatling工人
TID_UPGRADE_DESC_INSANE_OATLING_WORKERS,"Portals are twice as efficient.ARISE, MY MINIONS!",门户是efficient.ARISE的两倍
TID_UPGRADE_DISPLAYNAME_SOUL_BOND,Soul bond,灵魂的债券
TID_UPGRADE_DESC_SOUL_BOND,"Portals are twice as efficient.So I just sign up and get more cookies? Sure, whatever!",门户是两倍效率。所以我只是注册并获得更多的饼干?确定
TID_UPGRADE_DISPLAYNAME_FLUX_CAPACITORS,Flux capacitors,通量电容器
TID_UPGRADE_DESC_FLUX_CAPACITORS,"Time machines gain +9,876 base CpS.Bake to the future.",时间机器获得9
TID_UPGRADE_DISPLAYNAME_TIME_PARADOX_RESOLVER,Time paradox resolver,时间悖论解析器
TID_UPGRADE_DESC_TIME_PARADOX_RESOLVER,Time machines are twice as efficient.No more fooling around with your own grandmother!,时间机器效率的两倍。不再摆弄起自己的祖母!
TID_UPGRADE_DISPLAYNAME_QUANTUM_CONUNDRUM,Quantum conundrum,量子的难题
TID_UPGRADE_DESC_QUANTUM_CONUNDRUM,"Time machines are twice as efficient.There is only one constant, and that is universal uncertainty.Or is it?",时间机器效率的两倍。只有一个常数
TID_UPGRADE_DISPLAYNAME_KITTEN_HELPERS,Kitten helpers,小猫帮手
TID_UPGRADE_DESC_KITTEN_HELPERS,You gain more CpS the more milk you have.meow may I help you,你获得更多的CpS牛奶越多。猫叫我可以帮助你
TID_UPGRADE_DISPLAYNAME_KITTEN_WORKERS,Kitten workers,小猫的工人
TID_UPGRADE_DESC_KITTEN_WORKERS,You gain more CpS the more milk you have.meow meow meow meow,你获得更多的CpS牛奶越多。喵喵喵喵
TID_UPGRADE_DISPLAYNAME_OATMEAL_RAISIN_COOKIES,Oatmeal raisin cookies,燕麦葡萄干饼干
TID_UPGRADE_DESC_OATMEAL_RAISIN_COOKIES,Cookie production multiplier +5%.No raisin to hate these.,
TID_UPGRADE_DISPLAYNAME_PEANUT_BUTTER_COOKIES,Peanut butter cookies,花生酱饼干
TID_UPGRADE_DESC_PEANUT_BUTTER_COOKIES,Cookie production multiplier +5%.Get yourself some jam cookies!,
TID_UPGRADE_DISPLAYNAME_PLAIN_COOKIES,Plain cookies,普通的饼干
TID_UPGRADE_DESC_PLAIN_COOKIES,Cookie production multiplier +5%.Meh.,
TID_UPGRADE_DISPLAYNAME_COCONUT_COOKIES,Coconut cookies,椰子饼干
TID_UPGRADE_DESC_COCONUT_COOKIES,Cookie production multiplier +5%.These are *way* flaky.,
TID_UPGRADE_DISPLAYNAME_WHITE_CHOCOLATE_COOKIES,White chocolate cookies,白巧克力饼干
TID_UPGRADE_DESC_WHITE_CHOCOLATE_COOKIES,Cookie production multiplier +5%.I know what you'll say. It's just cocoa butter! It's not real chocolate!Oh please.,
TID_UPGRADE_DISPLAYNAME_MACADAMIA_NUT_COOKIES,Macadamia nut cookies,澳洲坚果饼干
TID_UPGRADE_DESC_MACADAMIA_NUT_COOKIES,Cookie production multiplier +5%.They're macadamn delicious!,
TID_UPGRADE_DISPLAYNAME_DOUBLE_CHIP_COOKIES,Double-chip cookies,Double-chip饼干
TID_UPGRADE_DESC_DOUBLE_CHIP_COOKIES,Cookie production multiplier +10%.DOUBLE THE CHIPSDOUBLE THE TASTY(double the calories),
TID_UPGRADE_DISPLAYNAME_SUGAR_COOKIES,Sugar cookies,糖饼干
TID_UPGRADE_DESC_SUGAR_COOKIES,"Cookie production multiplier +5%.Tasty, if a little unimaginative.",
TID_UPGRADE_DISPLAYNAME_WHITE_CHOCOLATE_MACADAMIA_NUT_COOKIES,White chocolate macadamia nut cookies,白巧克力澳洲坚果饼干
TID_UPGRADE_DESC_WHITE_CHOCOLATE_MACADAMIA_NUT_COOKIES,Cookie production multiplier +10%.Orteil's favorite.,
TID_UPGRADE_DISPLAYNAME_ALL_CHOCOLATE_COOKIES,All-chocolate cookies,餐饼干
TID_UPGRADE_DESC_ALL_CHOCOLATE_COOKIES,Cookie production multiplier +10%.CHOCOVERDOSE.,
TID_UPGRADE_DISPLAYNAME_QUADRILLION_FINGERS,Quadrillion fingers,手指的飞跃
TID_UPGRADE_DESC_QUADRILLION_FINGERS,The mouse and cursors gain +20 cookies for each non-cursor object owned.clickityclickityclickityclickityclick,鼠标光标获得20为每个non-cursor对象owned.clickityclickityclickityclickityclick饼干
TID_UPGRADE_DISPLAYNAME_PRUNE__UICE,Prune juice,西梅汁
TID_UPGRADE_DESC_PRUNE__UICE,Grandmas are twice as efficient.Gets me going.,奶奶是两倍效率。让我走了。
TID_UPGRADE_DISPLAYNAME_GENETICALLY_MODIFIED_COOKIES,Genetically-modified cookies,转基因饼干
TID_UPGRADE_DESC_GENETICALLY_MODIFIED_COOKIES,Farms are twice as efficient.All-natural mutations.,农场的两倍效率。天然突变。
TID_UPGRADE_DISPLAYNAME_RADIUM_REACTORS,Radium reactors,镭反应堆
TID_UPGRADE_DESC_RADIUM_REACTORS,Factories are twice as efficient.Gives your cookies a healthy glow.,工厂两倍效率。给你饼干健康的光泽。
TID_UPGRADE_DISPLAYNAME_ULTIMADRILL,Ultimadrill,Ultimadrill
TID_UPGRADE_DESC_ULTIMADRILL,"Mines are twice as efficient.Pierce the heavens, etc.",矿山是两倍效率。皮尔斯诸天
TID_UPGRADE_DISPLAYNAME_WARP_DRIVE,Warp drive,翘曲航行
TID_UPGRADE_DESC_WARP_DRIVE,Shipments are twice as efficient.To boldly bake.,装运的两倍效率。大胆地烤。
TID_UPGRADE_DISPLAYNAME_AMBROSIA,Ambrosia,特别美味的食物
TID_UPGRADE_DESC_AMBROSIA,Alchemy labs are twice as efficient.Adding this to the cookie mix is sure to make them even more addictive!Perhaps dangerously so.Let's hope you can keep selling these legally.,炼金术实验室两倍效率。这个添加到饼干混合肯定会让他们更容易上瘾!也许是危险的。希望你可以继续销售这些法律。
TID_UPGRADE_DISPLAYNAME_SANITY_DANCE,Sanity dance,理智的舞蹈
TID_UPGRADE_DESC_SANITY_DANCE,Portals are twice as efficient.We can change if we want to.We can leave our brains behind.,门户是两倍效率。如果我们希望我们可以改变。我们可以留下我们的大脑。
TID_UPGRADE_DISPLAYNAME_CAUSALITY_ENFORCER,Causality enforcer,因果关系执行者
TID_UPGRADE_DESC_CAUSALITY_ENFORCER,"Time machines are twice as efficient.What happened, happened.",时间机器效率的两倍。发生了什么事
TID_UPGRADE_DISPLAYNAME_LUCKY_DAY,Lucky day,幸运的一天
TID_UPGRADE_DESC_LUCKY_DAY,"Golden cookies appear twice as often and stay twice as long.Oh hey, a four-leaf penny!",金色的饼干出现两倍和两倍长。哦嘿
TID_UPGRADE_DISPLAYNAME_SERENDIPITY,Serendipity,意外的惊喜
TID_UPGRADE_DESC_SERENDIPITY,Golden cookies appear twice as often and stay twice as long.What joy! Seven horseshoes!,金色的饼干出现两倍和两倍长。什么快乐!七马蹄铁!
TID_UPGRADE_DISPLAYNAME_KITTEN_ENGINEERS,Kitten engineers,小猫工程师
TID_UPGRADE_DESC_KITTEN_ENGINEERS,"You gain more CpS the more milk you have.meow meow meow meow, sir",
TID_UPGRADE_DISPLAYNAME_DARK_CHOCOLATE_COATED_COOKIES,Dark chocolate-coated cookies,黑暗涂巧克力饼干
TID_UPGRADE_DESC_DARK_CHOCOLATE_COATED_COOKIES,Cookie production multiplier +15%.These absorb light so well you almost need to squint to see them.,
TID_UPGRADE_DISPLAYNAME_WHITE_CHOCOLATE_COATED_COOKIES,White chocolate-coated cookies,白色涂巧克力饼干
TID_UPGRADE_DESC_WHITE_CHOCOLATE_COATED_COOKIES,Cookie production multiplier +15%.These dazzling cookies absolutely glisten with flavor.,
TID_UPGRADE_DISPLAYNAME_FARMER_GRANDMAS,Farmer grandmas,农民奶奶
TID_UPGRADE_DESC_FARMER_GRANDMAS,Grandmas are twice as efficient.A nice farmer to grow more cookies.,奶奶是两倍效率。一个农民种植更多的饼干。
TID_UPGRADE_DISPLAYNAME_WORKER_GRANDMAS,Worker grandmas,工人奶奶
TID_UPGRADE_DESC_WORKER_GRANDMAS,Grandmas are twice as efficient.A nice worker to manufacture more cookies.,奶奶是两倍效率。一个很好的工人生产更多的饼干。
TID_UPGRADE_DISPLAYNAME_MINER_GRANDMAS,Miner grandmas,矿工奶奶
TID_UPGRADE_DESC_MINER_GRANDMAS,Grandmas are twice as efficient.A nice miner to dig more cookies.,奶奶是两倍效率。一个矿工挖更多的饼干。
TID_UPGRADE_DISPLAYNAME_COSMIC_GRANDMAS,Cosmic grandmas,宇宙的奶奶
TID_UPGRADE_DESC_COSMIC_GRANDMAS,Grandmas are twice as efficient.A nice thing to... uh... cookies.,奶奶是两倍效率。件好事……嗯…饼干。
TID_UPGRADE_DISPLAYNAME_TRANSMUTED_GRANDMAS,Transmuted grandmas,改变奶奶
TID_UPGRADE_DESC_TRANSMUTED_GRANDMAS,Grandmas are twice as efficient.A nice golden grandma to convert into more cookies.,奶奶是两倍效率。一个漂亮的金奶奶转换成更多的饼干。
TID_UPGRADE_DISPLAYNAME_ALTERED_GRANDMAS,Altered grandmas,改变了奶奶
TID_UPGRADE_DESC_ALTERED_GRANDMAS,Grandmas are twice as efficient.a NiCe GrAnDmA tO bA##########,奶奶是两倍效率。英航的好奶奶
TID_UPGRADE_DISPLAYNAME_GRANDMAS__GRANDMAS,Grandmas' grandmas,奶奶的奶奶
TID_UPGRADE_DESC_GRANDMAS__GRANDMAS,Grandmas are twice as efficient.A nice grandma's nice grandma to bake double the cookies.,奶奶是两倍效率。一个漂亮的奶奶的好奶奶烤曲奇饼的两倍。
TID_UPGRADE_DISPLAYNAME_BINGO_CENTER_RESEARCH_FACILITY,Bingo center/Research facility,宾戈游戏中心/研究机构
TID_UPGRADE_DESC_BINGO_CENTER_RESEARCH_FACILITY,Grandma-operated science lab and leisure club.Grandmas are 4 times as efficient.Regularly unlocks new upgrades.What could possibly keep those grandmothers in check?...Bingo.,Grandma-operated科学实验室和休闲俱乐部。奶奶是4倍。定期打开新的升级。可能抑制那些祖母什么?……宾果。
TID_UPGRADE_DISPLAYNAME_SPECIALIZED_CHOCOLATE_CHIPS,Specialized chocolate chips,专门的巧克力
TID_UPGRADE_DESC_SPECIALIZED_CHOCOLATE_CHIPS,"[Research]Cookie production multiplier +1%.Computer-designed chocolate chips. Computer chips, if you will.",
TID_UPGRADE_DISPLAYNAME_DESIGNER_COCOA_BEANS,Designer cocoa beans,设计师可可豆
TID_UPGRADE_DESC_DESIGNER_COCOA_BEANS,[Research]Cookie production multiplier +2%.Now more aerodynamic than ever!,
TID_UPGRADE_DISPLAYNAME_RITUAL_ROLLING_PINS,Ritual rolling pins,仪式滚针
TID_UPGRADE_DESC_RITUAL_ROLLING_PINS,[Research]Grandmas are twice as efficient.The result of years of scientific research!,[研究]奶奶是两倍效率。多年的科学研究的结果!
TID_UPGRADE_DISPLAYNAME_UNDERWORLD_OVENS,Underworld ovens,黑社会烤箱
TID_UPGRADE_DESC_UNDERWORLD_OVENS,"[Research]Cookie production multiplier +3%.Powered by science, of course!",
TID_UPGRADE_DISPLAYNAME_ONE_MIND,One mind,一个头脑
TID_UPGRADE_DESC_ONE_MIND,[Research]Each grandma gains +1 base CpS for every 50 grandmas.Note : the grandmothers are growing restless. Do not encourage them.We are one. We are many.,[研究]每个奶奶收益1基地CpS每50个奶奶。注意:祖母越来越焦躁不安。不鼓励他们。我们是一体的。我们有很多。
TID_UPGRADE_DISPLAYNAME_EXOTIC_NUTS,Exotic nuts,异国情调的坚果
TID_UPGRADE_DESC_EXOTIC_NUTS,[Research]Cookie production multiplier +4%.You'll go crazy over these!,
TID_UPGRADE_DISPLAYNAME_COMMUNAL_BRAINSWEEP,Communal brainsweep,公共brainsweep
TID_UPGRADE_DESC_COMMUNAL_BRAINSWEEP,[Research]Each grandma gains another +1 base CpS for every 50 grandmas.Note : proceeding any further in scientific research may have unexpected results. You have been warned.We fuse. We merge. We grow.,[研究]每一个奶奶收益1基地CpS每50个奶奶。注意:进行任何进一步的科学研究可能意想不到的结果。我已经警告过你了!我们融合。我们合并。我们成长。
TID_UPGRADE_DISPLAYNAME_ARCANE_SUGAR,Arcane sugar,神秘的糖
TID_UPGRADE_DESC_ARCANE_SUGAR,"[Research]Cookie production multiplier +5%.Tastes like insects, ligaments, and molasses.",
TID_UPGRADE_DISPLAYNAME_ELDER_PACT,Elder Pact,的协议
TID_UPGRADE_DESC_ELDER_PACT,[Research]Each grandma gains +1 base CpS for every 20 portals.Note : this is a bad idea.squirm crawl slither writhetoday we rise,[研究]每个奶奶收益1基本CpS每20门户。注意:这是一个坏主意。蠕动爬行爬writhetoday我们上升
TID_UPGRADE_DISPLAYNAME_ELDER_PLEDGE,Elder Pledge,老人的承诺
TID_UPGRADE_DESC_ELDER_PLEDGE,"[Repeatable]Contains the wrath of the elders, at least for a while.This is a simple ritual involving anti-aging cream, cookie batter mixed in the moonlight, and a live chicken.",(重复的)包含长老的忿怒
TID_UPGRADE_DISPLAYNAME_PLASTIC_MOUSE,Plastic mouse,塑料鼠标
TID_UPGRADE_DESC_PLASTIC_MOUSE,Clicking gains +1% of your CpS.Slightly squeaky.,
TID_UPGRADE_DISPLAYNAME_IRON_MOUSE,Iron mouse,铁的鼠标
TID_UPGRADE_DESC_IRON_MOUSE,Clicking gains +1% of your CpS.Click like it's 1349!,
