TID,EN,ydZH
TID_ACH_DESC_ANTIBATTER,Have 1 antimatter condenser.,有1反物质冷凝器。
TID_ACH_DISPLAYNAME_QUIRKY_QUARKS,Quirky quarks,古怪的夸克
TID_ACH_DESC_QUIRKY_QUARKS,Have 50 antimatter condensers.,有50反物质冷凝器。
TID_ACH_DISPLAYNAME_IT_DOES_MATTER,It does matter!,这很重要!
TID_ACH_DESC_IT_DOES_MATTER,Have 100 antimatter condensers.,有100个反物质冷凝器。
TID_ACH_DISPLAYNAME_UPGRADER,Upgrader,升级程序
TID_ACH_DESC_UPGRADER,Purchase 100 upgrades.,购买100升级。
TID_ACH_DISPLAYNAME_CENTENNIAL,Centennial,百周年
TID_ACH_DESC_CENTENNIAL,Have at least 100 of everything.,有至少100的一切。
TID_ACH_DISPLAYNAME_HARDCORE,Hardcore,硬核
TID_ACH_DESC_HARDCORE,Get to 1 billion cookies baked with no upgrades purchased.,到10亿年购买饼干烤没有升级。
TID_ACH_DISPLAYNAME_SPEED_BAKING_I,Speed baking I,速度烤我
TID_ACH_DESC_SPEED_BAKING_I,Get to 1 million cookies baked in 35 minutes (with no heavenly upgrades).,到达100万饼干烤35分钟(没有天上的升级)。
TID_ACH_DISPLAYNAME_SPEED_BAKING_II,Speed baking II,速度烤二世
TID_ACH_DESC_SPEED_BAKING_II,Get to 1 million cookies baked in 25 minutes (with no heavenly upgrades).,到达100万饼干烤25分钟(没有天上的升级)。
TID_ACH_DISPLAYNAME_SPEED_BAKING_III,Speed baking III,速度烘焙三世
TID_ACH_DESC_SPEED_BAKING_III,Get to 1 million cookies baked in 15 minutes (with no heavenly upgrades).,到100万年饼干烤15分钟(没有天上的升级)。
TID_ACH_DISPLAYNAME_CLICKASMIC,Clickasmic,Clickasmic
TID_ACH_DESC_CLICKASMIC,"Make 100,000,000,000 cookies from clicking.",
TID_ACH_DISPLAYNAME_FRIEND_OF_THE_ANCIENTS,Friend of the ancients,古人的朋友
TID_ACH_DESC_FRIEND_OF_THE_ANCIENTS,Have 150 grandmas.,有150个奶奶。
TID_ACH_DISPLAYNAME_RULER_OF_THE_ANCIENTS,Ruler of the ancients,古人的统治者
TID_ACH_DESC_RULER_OF_THE_ANCIENTS,Have 200 grandmas.,有200个奶奶。
TID_ACH_DISPLAYNAME_WHOLESOME,Wholesome,有益健康的
TID_ACH_DESC_WHOLESOME,Unlock 100% of your heavenly chips power.,
TID_ACH_DISPLAYNAME__UST_PLAIN_LUCKY,Just plain lucky,仅仅是幸运的
TID_ACH_DESC__UST_PLAIN_LUCKY,"You have 1 chance in 500,000 every second of earning this achievement.",你有1 500年的机会
TID_ACH_DISPLAYNAME_ITCHSCRATCHER,Itchscratcher,Itchscratcher
TID_ACH_DESC_ITCHSCRATCHER,Burst 1 wrinkler.,1 wrinkler破灭。
TID_ACH_DISPLAYNAME_WRINKLESQUISHER,Wrinklesquisher,Wrinklesquisher
TID_ACH_DESC_WRINKLESQUISHER,Burst 50 wrinklers.,50 wrinklers破裂。
TID_ACH_DISPLAYNAME_MOISTBURSTER,Moistburster,Moistburster
TID_ACH_DESC_MOISTBURSTER,Burst 200 wrinklers.,200 wrinklers破裂。
TID_ACH_DISPLAYNAME_SPOOKY_COOKIES,Spooky cookies,令人毛骨悚然的饼干
TID_ACH_DESC_SPOOKY_COOKIES,Unlock every Halloween-themed cookie.Owning this achievement makes Halloween-themed cookies drop more frequently in future playthroughs.,打开每一个万圣节饼干。拥有这一成就让万圣节饼干下降在未来playthroughs更频繁。
TID_ACH_DISPLAYNAME_COMING_TO_TOWN,Coming to town,来到城镇
TID_ACH_DESC_COMING_TO_TOWN,Reach Santa's 7th form.,到圣诞老人的7日形式。
TID_ACH_DISPLAYNAME_ALL_HAIL_SANTA,All hail Santa,圣诞老人致敬
TID_ACH_DESC_ALL_HAIL_SANTA,Reach Santa's final form.,圣诞老人的最终形式。
TID_ACH_DISPLAYNAME_LET_IT_SNOW,Let it snow,让它雪
TID_ACH_DESC_LET_IT_SNOW,Unlock every Christmas-themed cookie.,打开每一个圣诞主题饼干。
TID_ACH_DISPLAYNAME_OH_DEER,Oh deer,哦，鹿
TID_ACH_DESC_OH_DEER,Pop 1 reindeer.,流行1驯鹿。
TID_ACH_DISPLAYNAME_SLEIGH_OF_HAND,Sleigh of hand,雪橇的手
TID_ACH_DESC_SLEIGH_OF_HAND,Pop 50 reindeer.,流行50驯鹿。
TID_ACH_DISPLAYNAME_REINDEER_SLEIGHER,Reindeer sleigher,驯鹿sleigher
TID_ACH_DESC_REINDEER_SLEIGHER,Pop 200 reindeer.,流行200驯鹿。
TID_ACH_DISPLAYNAME_PERFECTED_AGRICULTURE,Perfected agriculture,完善农业
TID_ACH_DESC_PERFECTED_AGRICULTURE,Have 150 farms.,有150个农场。
TID_ACH_DISPLAYNAME_ULTIMATE_AUTOMATION,Ultimate automation,最终的自动化
TID_ACH_DESC_ULTIMATE_AUTOMATION,Have 150 factories.,有150家工厂。
TID_ACH_DISPLAYNAME_CAN_YOU_DIG_IT,Can you dig it,你搞明白了吗
TID_ACH_DESC_CAN_YOU_DIG_IT,Have 150 mines.,有150个矿山。
TID_ACH_DISPLAYNAME_TYPE_II_CIVILIZATION,Type II civilization,II型文明
TID_ACH_DESC_TYPE_II_CIVILIZATION,Have 150 shipments.,有150个发货。
TID_ACH_DISPLAYNAME_GILD_WARS,Gild wars,镀金的战争
TID_ACH_DESC_GILD_WARS,Have 150 alchemy labs.,有150个炼金术实验室。
TID_ACH_DISPLAYNAME_BRAIN_SPLIT,Brain-split,Brain-split
TID_ACH_DESC_BRAIN_SPLIT,Have 150 portals.,有150个门户。
TID_ACH_DISPLAYNAME_TIME_DUKE,Time duke,时间杜克
TID_ACH_DESC_TIME_DUKE,Have 150 time machines.,有150年的时间机器。
TID_ACH_DISPLAYNAME_MOLECULAR_MAESTRO,Molecular maestro,分子大师
TID_ACH_DESC_MOLECULAR_MAESTRO,Have 150 antimatter condensers.,有150个反物质冷凝器。
TID_ACH_DISPLAYNAME_LONE_PHOTON,Lone photon,孤独的光子
TID_ACH_DESC_LONE_PHOTON,Have 1 prism.,1棱镜。
TID_ACH_DISPLAYNAME_DAZZLING_GLIMMER,Dazzling glimmer,眼花缭乱的线
TID_ACH_DESC_DAZZLING_GLIMMER,Have 50 prisms.,有50个棱镜。
TID_ACH_DISPLAYNAME_BLINDING_FLASH,Blinding flash,眩目的闪光
TID_ACH_DESC_BLINDING_FLASH,Have 100 prisms.,有100个棱镜。
TID_ACH_DISPLAYNAME_UNENDING_GLOW,Unending glow,无休止的光芒
TID_ACH_DESC_UNENDING_GLOW,Have 150 prisms.,有150个棱镜。
TID_ACH_DISPLAYNAME_LORD_OF_CONSTRUCTS,Lord of Constructs,结构的主
TID_ACH_DESC_LORD_OF_CONSTRUCTS,"Own 1500 buildings.He saw the vast plains stretching ahead of him, and he said : let there be civilization.",自己的1500栋建筑物。他看到了巨大的平原延伸他的前面
TID_ACH_DISPLAYNAME_LORD_OF_PROGRESS,Lord of Progress,主的进步
TID_ACH_DESC_LORD_OF_PROGRESS,Purchase 150 upgrades.One can always do better. But should you?,购买150升级。人们总是可以做得更好。但是你应该吗?
TID_ACH_DISPLAYNAME_BICENTENNIAL,Bicentennial,纪念
TID_ACH_DESC_BICENTENNIAL,Have at least 200 of everything.You crazy person.,有至少200的一切。你疯狂的人。
TID_ACH_DISPLAYNAME_LOVELY_COOKIES,Lovely cookies,可爱的饼干
TID_ACH_DESC_LOVELY_COOKIES,Unlock every Valentine-themed cookie.,打开每个Valentine-themed饼干。
TID_NEWS1_CONTEXT_0,Moist cookies.grandma,潮湿cookies.grandma
TID_NEWS1_CONTEXT_1,We're nice grandmas.grandma,我们好grandmas.grandma
TID_NEWS1_CONTEXT_2,Indentured servitude.grandma,契约servitude.grandma
TID_NEWS1_CONTEXT_3,Come give grandma a kiss.grandma,来给奶奶一个kiss.grandma
TID_NEWS1_CONTEXT_4,Why don't you visit more often?grandma,你为什么不经常访问奶奶
TID_NEWS1_CONTEXT_5,Call me...grandma,我呼吁... grandma
TID_NEWS2_CONTEXT_0,Absolutely disgusting.grandma,绝对disgusting.grandma
TID_NEWS2_CONTEXT_1,You make me sick.grandma,你让我sick.grandma
TID_NEWS2_CONTEXT_2,You disgust me.grandma,你厌恶me.grandma
TID_NEWS2_CONTEXT_3,We rise.grandma,我们rise.grandma
TID_NEWS2_CONTEXT_4,It begins.grandma,它begins.grandma
TID_NEWS2_CONTEXT_5,It'll all be over soon.grandma,它soon.grandma一切都要结束了
TID_NEWS2_CONTEXT_6,You could have stopped it.grandma,你可以停止it.grandma
TID_NEWS3_CONTEXT_0,News : cookie farms suspected of employing undeclared elderly workforce!,新闻:饼干农场涉嫌利用未申报的老年劳动力!
TID_NEWS3_CONTEXT_1,"News : cookie farms release harmful chocolate in our rivers, says scientist!",新闻:饼干农场释放有害的巧克力在我们的河流
TID_NEWS3_CONTEXT_2,News : genetically-modified chocolate controversy strikes cookie farmers!,新闻:转基因争议罢工巧克力曲奇农民!
TID_NEWS3_CONTEXT_3,"News : free-range farm cookies popular with today's hip youth, says specialist.",新闻:农场自由放养的饼干受今天的时尚青年的欢迎
TID_NEWS3_CONTEXT_4,"News : farm cookies deemed unfit for vegans, says nutritionist.",新闻:农场饼干被认为不适合素食者
TID_NEWS4_CONTEXT_0,News : cookie factories linked to global warming!,新闻:饼干工厂与全球变暖!
TID_NEWS4_CONTEXT_1,News : cookie factories involved in chocolate weather controversy!,新闻:巧克力饼干工厂参与天气争议!
TID_NEWS4_CONTEXT_2,"News : cookie factories on strike, robotic minions employed to replace workforce!",新闻:饼干工厂罢工
TID_NEWS4_CONTEXT_3,News : cookie factories on strike - workers demand to stop being paid in cookies!,新闻:饼干工厂罢工，工人要求停止支付在饼干!
TID_NEWS4_CONTEXT_4,"News : factory-made cookies linked to obesity, says study.",新闻:工厂预制饼干与肥胖有关
TID_NEWS5_CONTEXT_0,News : 423 miners dead in chocolate mine catastrophe!,新闻:423名矿工死于巧克力我的灾难!
TID_NEWS5_CONTEXT_1,News : 621 miners trapped in collapsed chocolate mine!,新闻:621名矿工被困在倒塌的巧克力我的!
TID_NEWS5_CONTEXT_2,News : chocolate mines found to cause earthquakes and sink holes!,新闻:巧克力矿山发现导致地震和沉孔!
TID_NEWS5_CONTEXT_3,"News : chocolate mine goes awry, floods village in chocolate!",新闻:巧克力我出错
TID_NEWS5_CONTEXT_4,"News : depths of chocolate mines found to house 'peculiar, chocolaty beings'!",新闻:巧克力矿山深处发现奇特的房子”
TID_NEWS6_CONTEXT_0,"News : new chocolate planet found, becomes target of cookie-trading spaceships!",新闻:新的巧克力行星发现
TID_NEWS6_CONTEXT_1,News : massive chocolate planet found with 99.8% certified pure dark chocolate core!,
TID_NEWS6_CONTEXT_2,News : space tourism booming as distant planets attract more bored millionaires!,新闻:太空旅游蓬勃发展，遥远行星吸引更多无聊的百万富翁!
TID_NEWS6_CONTEXT_3,News : chocolate-based organisms found on distant planet!,新闻:以生物发现遥远星球上!
TID_NEWS6_CONTEXT_4,"News : ancient baking artifacts found on distant planet; 'terrifying implications', experts say.",新闻:古代烘焙工件发现遥远的星球上，“可怕的影响”
TID_NEWS7_CONTEXT_0,News : national gold reserves dwindle as more and more of the precious mineral is turned to cookies!,新闻:国家黄金储备减少，越来越多的珍贵矿物是转向饼干!
TID_NEWS7_CONTEXT_1,"News : chocolate jewelry found fashionable, gold and diamonds 'just a fad', says specialist.",新闻:巧克力珠宝发现时尚
TID_NEWS7_CONTEXT_2,News : silver found to also be transmutable into white chocolate!,新闻:银也发现是可变形的白巧克力!
TID_NEWS7_CONTEXT_3,"News : defective alchemy lab shut down, found to convert cookies to useless gold.",新闻:有缺陷的炼金术实验室关闭
TID_NEWS7_CONTEXT_4,News : alchemy-made cookies shunned by purists!,新闻:alchemy-made饼干都纯粹主义者!
TID_NEWS8_CONTEXT_0,News : nation worried as more and more unsettling creatures emerge from dimensional portals!,新闻:国家担心随着越来越多的令人不安的生物走出维门户!
TID_NEWS8_CONTEXT_1,News : dimensional portals involved in city-engulfing disaster!,新闻:维门户参与city-engulfing灾难!
TID_NEWS8_CONTEXT_2,News : tourism to cookieverse popular with bored teenagers! Casualty rate as high as 73%!,
TID_NEWS8_CONTEXT_3,"News : cookieverse portals suspected to cause fast aging and obsession with baking, says study.",新闻:cookieverse门户怀疑导致快速老化和对烘焙
TID_NEWS8_CONTEXT_4,"News : 'do not settle near portals,' says specialist; 'your children will become strange and corrupted inside.'",新闻:“不解决附近的门户
TID_NEWS9_CONTEXT_0,News : time machines involved in history-rewriting scandal! Or are they?,新闻:时间机器参与history-rewriting丑闻!还是他们?
TID_NEWS9_CONTEXT_1,News : time machines used in unlawful time tourism!,新闻:时光机用于非法时间旅游!
TID_NEWS9_CONTEXT_2,"News : cookies brought back from the past 'unfit for human consumption', says historian.",新闻:饼干从过去带回来不适合人类食用的
TID_NEWS9_CONTEXT_3,News : various historical figures inexplicably replaced with talking lumps of dough!,新闻:各种历史人物莫名其妙地替换的说话的面团!
TID_NEWS9_CONTEXT_4,"News : 'I have seen the future,' says time machine operator, 'and I do not wish to go there again.'",新闻:“我已经看到了未来
TID_NEWS10_CONTEXT_0,News : whole town seemingly swallowed by antimatter-induced black hole; more reliable sources affirm town 'never really existed'!,新闻:整个城市似乎被antimatter-induced黑洞吞噬，更可靠的来源肯定从未真正存在过的小镇!
TID_NEWS10_CONTEXT_1,News : 'explain to me again why we need particle accelerators to bake cookies?' asks misguided local woman.,新闻:“向我解释了为什么我们需要粒子加速器来烤点心?“被误导的当地妇女问道。
TID_NEWS10_CONTEXT_2,"News : first antimatter condenser successfully turned on, doesn't rip apart reality!",新闻:首先反物质冷凝器成功打开
TID_NEWS10_CONTEXT_3,"News : researchers conclude that what the cookie industry needs, first and foremost, is 'more magnets'.",新闻:研究人员得出这样的结论:饼干行业需要什么
TID_NEWS10_CONTEXT_4,"News : 'unravelling the fabric of reality just makes these cookies so much tastier', claims scientist.",新闻:“解体的现实只会让这些cookie如此美味的
TID_NEWS11_CONTEXT_0,News : new cookie-producing prisms linked to outbreak of rainbow-related viral videos.,新闻:新cookie-producing棱镜与rainbow-related爆发病毒视频。
TID_NEWS11_CONTEXT_1,"News : scientists warn against systematically turning light into matter - 'One day, we'll end up with all matter and no light!'",新闻:科学家警告系统将光转化为物质——‘一天
TID_NEWS11_CONTEXT_2,News : cookies now being baked at the literal speed of light thanks to new prismatic contraptions.,现在新闻:饼干被烤在文字光速由于新柱状装置。
TID_NEWS11_CONTEXT_3,"News : 'Can't you sense the prism watching us?', rambles insane local man. 'No idea what he's talking about', shrugs cookie magnate/government official.",新闻:“你不能感觉棱镜看我们?”
TID_NEWS11_CONTEXT_4,News : world citizens advised 'not to worry' about frequent atmospheric flashes.,新闻:世界公民建议“不要担心”频繁大气闪烁。
TID_NEWS12_CONTEXT_0,"News : cookie manufacturer downsizes, sells own grandmother!",新闻:饼干的生产规模
TID_NEWS12_CONTEXT_1,"It has betrayed us, the filthy little thing.grandma",它已经背叛了我们
TID_NEWS12_CONTEXT_2,"It tried to get rid of us, the nasty little thing.grandma",它试图摆脱我们
TID_NEWS12_CONTEXT_3,It thought we would go away by selling us. How quaint.grandma,它认为我们会被出售。如何quaint.grandma
TID_NEWS12_CONTEXT_4,I can smell your rotten cookies.grandma,我可以闻到你的臭cookies.grandma
TID_NEWS13_CONTEXT,"News : cookie manufacturer completely forgoes common sense, lets OCD drive building decisions!",新闻:饼干制造商完全放弃常识
TID_NEWS14_CONTEXT,"News : follow the tear-jerking, riches-to-rags story about a local cookie manufacturer who decided to give it all up!",新闻:遵循感人泪下
TID_NEWS15_CONTEXT,News : known universe now jammed with cookies! No vacancies!,新闻:已知宇宙现在挤满了饼干!没有职位空缺!
TID_NEWS16_CONTEXT,News : local cookie manufacturer becomes luckiest being alive!,新闻:当地饼干制造商成为最幸运的活着!
TID_NEWS17_CONTEXT,News : faint meowing heard around local cookie facilities; suggests new ingredient being tested.,新闻:微弱的喵喵声听到周围当地饼干设施;表明新成分测试。
TID_NEWS18_CONTEXT,News : crowds of meowing kittens with little hard hats reported near local cookie facilities.,新闻:成群的喵喵声小猫没有安全帽报道当地的饼干设施附近。
TID_NEWS19_CONTEXT,News : surroundings of local cookie facilities now overrun with kittens in adorable little suits. Authorities advise to stay away from the premises.,新闻:当地饼干设施环境现在被小猫可爱的小西装。当局建议远离前提。
TID_NEWS20_CONTEXT,News : locals report troupe of bossy kittens meowing adorable orders at passersby.,新闻:当地居民报告剧团的专横的小猫喵喵声可爱的订单在路人。
TID_NEWS21_CONTEXT,You feel like making cookies. But nobody wants to eat your cookies.,你觉得做饼干。但是没有人想要吃你的饼干。
TID_NEWS22_CONTEXT,Your first batch goes to the trash. The neighborhood raccoon barely touches it.,你的第一批去垃圾。附近的浣熊几乎触及它。
TID_NEWS23_CONTEXT,Your family accepts to try some of your cookies.,你的家人接受你的一些饼干。
TID_NEWS24_CONTEXT,Your cookies are popular in the neighborhood.,你的饼干是受欢迎的在附近。
TID_NEWS25_CONTEXT,People are starting to talk about your cookies.,人们开始谈论你的饼干。
TID_NEWS26_CONTEXT,Your cookies are talked about for miles around.,你的饼干是谈到了数英里。
TID_NEWS27_CONTEXT,Your cookies are renowned in the whole town!,你的饼干是著名的在整个小镇!
TID_NEWS28_CONTEXT,Your cookies bring all the boys to the yard.,你的饼干给院子里带来所有的男孩。
TID_NEWS29_CONTEXT,Your cookies now have their own website!,你的饼干现在有自己的网站!
TID_NEWS30_CONTEXT,Your cookies are worth a lot of money.,你的饼干是值得一大笔钱。
TID_NEWS31_CONTEXT,Your cookies sell very well in distant countries.,你的饼干在遥远的国家卖得很好。
TID_NEWS32_CONTEXT,People come from very far away to get a taste of your cookies.,人们来自非常遥远的你的饼干。
TID_NEWS33_CONTEXT,Kings and queens from all over the world are enjoying your cookies.,国王和王后来自世界各地正在享受你的饼干。
TID_NEWS34_CONTEXT,There are now museums dedicated to your cookies.,现在博物馆致力于你的饼干。
TID_NEWS35_CONTEXT,A national day has been created in honor of your cookies.,创建了一个国庆纪念你的饼干。
TID_NEWS36_CONTEXT,Your cookies have been named a part of the world wonders.,你的饼干被命名为世界奇迹的一部分。
TID_NEWS37_CONTEXT,History books now include a whole chapter about your cookies.,历史书现在包括整个章你的饼干。
TID_NEWS38_CONTEXT,Your cookies have been placed under government surveillance.,你的饼干已经受到政府监控。
TID_NEWS39_CONTEXT,The whole planet is enjoying your cookies!,整个地球正在享受你的饼干!
TID_NEWS40_CONTEXT,Strange creatures from neighboring planets wish to try your cookies.,奇怪的生物从邻近的行星希望尝试你的饼干。
TID_NEWS41_CONTEXT,Elder gods from the whole cosmos have awoken to taste your cookies.,老人神从整个宇宙已认识到品尝你的饼干。
TID_NEWS42_CONTEXT,Beings from other dimensions lapse into existence just to get a taste of your cookies.,人类从其他方面陷入的存在只是为了尝到你的饼干。
TID_NEWS43_CONTEXT,Your cookies have achieved sentience.,你的饼干所取得的感觉。
TID_NEWS44_CONTEXT,"The universe has now turned into cookie dough, to the molecular level.",宇宙已经变成饼干面团
TID_NEWS45_CONTEXT,Your cookies are rewriting the fundamental laws of the universe.,你的饼干是重写宇宙的基本规律。
TID_NEWS46_CONTEXT,A local news station runs a 10-minute segment about your cookies. Success!(you win a cookie),当地新闻站运行10分钟段你的饼干。成功!(你赢了饼干)
TID_NEWS47_CONTEXT,it's time to stop playing,是时候停止玩
TID_BUTTON_LABEL_SELL,Sell,出售
TID_BUTTON_LABEL_MENU,Menu,菜单
TID_BUTTON_LABEL_STATS,Stats,统计数据
TID_STORE,STORE,商店
TID_BUILDING,BUILDING,建筑
TID_SECTION_GENERAL,general,一般
TID_SECTION_UNLOCK_UPGRADES,Unlock Upgrades,解锁升级
TID_UPGRADE,Upgrade,升级
TID_ACHIEVEMENTS,Achievements,成就
TID_COOKIES_IN_BANK,Cookies In Bank:,饼干在银行:
TID_COOKIES_BAKED_THIS_GAME,Cookies In Baked(this game):,饼干在烤(这个游戏):
TID_COOKIES_BAKED_ALL_TIME,Cookies In Baked(all time):,饼干在烤(时间):
TID_SESSION_START,Session Start:,会议开始:
TID_BUILDING_OWNED,Building Owned:,建筑拥有:
TID_COOKIES_PER_SECEND,Cookies Per Secend:,饼干每二:
TID_MULTIPLIER,multiplier:(#Number#%),(增加:
TID_COOKIES_PER_CLICK,Cookies Per Click:,饼干每点击:
TID_COOKIE_CLICK,Cookie Click:,饼干点击:
TID_HAND_MAKE_COOKIE,Hand-made cookies:,手工饼干:
TID_GOLDEN_CLICK,Golden Cookie Clicks:,黄金饼干点击:
TID_RUNNING_VERSION,Running version:,运行版本:
TID_UNLOCKED,Unlocked:,解锁:
TID_MILK,Milk:,牛奶:
TID_MILK_NOTE,Note:you gain milk through achievements.Milk can unlock unique upgrades over time.,注意:您通过成就获得牛奶。牛奶可以解锁独特的升级。
